Target,Feature,Importance
Total_EBITDA,Avg_Fuel_Price_Index,0.0174
Total_EBITDA,Carbon_Tax_per_Ton,0.0033
Total_EBITDA,Avg_Renewable_Generation_Factor,0.1094
Total_EBITDA,RPO_Target_pct,0.3276
Total_EBITDA,Avg_Variable_Cost_per_MWh,0.0714
Total_EBITDA,Merit_Order_Inversion_Rate,0.0051
Total_EBITDA,Fuel_x_Carbon,0.0064
Total_EBITDA,Renewable_Shortfall,0.068
Total_EBITDA,Shortfall_x_RPO,0.3798
Total_EBITDA,VarCost_x_Inversion,0.0117
Average_DSCR,Avg_Fuel_Price_Index,0.0772
Average_DSCR,Carbon_Tax_per_Ton,0.0296
Average_DSCR,Avg_Renewable_Generation_Factor,0.0592
Average_DSCR,RPO_Target_pct,0.4036
Average_DSCR,Avg_Variable_Cost_per_MWh,0.1102
Average_DSCR,Merit_Order_Inversion_Rate,0.0396
Average_DSCR,Fuel_x_Carbon,0.0354
Average_DSCR,Renewable_Shortfall,0.0764
Average_DSCR,Shortfall_x_RPO,0.0891
Average_DSCR,VarCost_x_Inversion,0.0798
System_Emission_Intensity,Avg_Fuel_Price_Index,0.0015
System_Emission_Intensity,Carbon_Tax_per_Ton,0.0031
System_Emission_Intensity,Avg_Renewable_Generation_Factor,0.092
System_Emission_Intensity,RPO_Target_pct,0.0297
System_Emission_Intensity,Avg_Variable_Cost_per_MWh,0.0108
System_Emission_Intensity,Merit_Order_Inversion_Rate,0.0061
System_Emission_Intensity,Fuel_x_Carbon,0.002
System_Emission_Intensity,Renewable_Shortfall,0.2141
System_Emission_Intensity,Shortfall_x_RPO,0.6312
System_Emission_Intensity,VarCost_x_Inversion,0.0095
Merchant_Exposure_Rate,Avg_Fuel_Price_Index,0.0041
Merchant_Exposure_Rate,Carbon_Tax_per_Ton,0.0015
Merchant_Exposure_Rate,Avg_Renewable_Generation_Factor,0.0029
Merchant_Exposure_Rate,RPO_Target_pct,0.0297
Merchant_Exposure_Rate,Avg_Variable_Cost_per_MWh,0.0036
Merchant_Exposure_Rate,Merit_Order_Inversion_Rate,0.4402
Merchant_Exposure_Rate,Fuel_x_Carbon,0.0146
Merchant_Exposure_Rate,Renewable_Shortfall,0.0007
Merchant_Exposure_Rate,Shortfall_x_RPO,0.0135
Merchant_Exposure_Rate,VarCost_x_Inversion,0.4891
